cbsafips,cbsaname,city,long,lat
10420,"Akron, OH Metropolitan Statistical Area",Akron,-81.517001,41.08316
10740,"Albuquerque, NM",Albuquerque,-106.650565,35.087336
12060,"Atlanta-Sandy Springs-Marietta, GA",Atlanta,-84.387047,33.7598
12420,"Austin-Round Rock, TX",Austin,-97.742773,30.2670002
12580,"Baltimore-Towson, MD",Baltimore,-76.613,39.2859993
13820,"Birmingham-Hoover, AL",Birmingham,-86.80903,33.519228
14460,"Boston-Cambridge-Quincy, MA-NH",Boston,-71.060204,42.3583984
15380,"Buffalo-Niagara Falls, NY",Buffalo,-78.877922,42.8862991
16740,"Charlotte-Gastonia-Concord, NC-SC",Charlotte,-80.843345,35.2268982
16980,"Chicago-Naperville-Joliet, IL-IN-WI",Chicago,-87.628098,41.8871002
17140,"Cincinnati-Middletown, OH-KY-IN",Cincinnati,-84.51021,39.1012001
17460,"Cleveland-Elyria-Mentor, OH",Cleveland,-81.69587,41.4995003
18140,"Columbus, OH",Columbus,-82.999001,39.9611015
19100,"Dallas-Fort Worth-Arlington, TX",Dallas,-96.800151,32.7821999
19740,"Denver-Aurora-Broomfield, CO",Denver,-104.984398,39.7392006
19820,"Detroit-Warren-Livonia, MI",Detroit,-83.050812,42.3372002
24340,"Grand Rapids-Wyoming, MI",Grand Rapids,-85.668098,42.9632988
24660,"Greensboro-High Point, NC",Greensboro,-79.792236,36.0726013
25540,"Hartford-West Hartford-East Hartford, CT",Hartford,-72.685577,41.7635002
26420,"Houston-Sugar Land-Baytown, TX",Houston,-95.365411,29.7563
26900,"Indianapolis-Carmel, IN",Indianapolis,-86.158062,39.7682991
27260,"Jacksonville, FL",Jacksonville,-81.655663,30.3332005
28140,"Kansas City, MO-KS",Kansas City,-94.578522,39.0998001
29820,"Las Vegas-Paradise, NV",Las Vegas,-115.136398,36.1749992
31100,"Los Angeles-Long Beach-Santa Ana, CA",Los Angeles,-118.242699,34.0522003
31140,"Louisville-Jefferson County, KY-IN",Louisville,-85.754044,38.2528992
31420,"Macon, GA Metropolitan Statistical Area",Macon,-83.627481,32.83566
32820,"Memphis, TN-MS-AR",Memphis,-90.048897,35.1493988
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami,-80.194046,25.7738991
33340,"Milwaukee-Waukesha-West Allis, WI",Milwaukee,-87.906586,43.0390015
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,-93.263702,44.9799995
34980,"Nashville-Davidson-Murfreesboro-Franklin, TN",Nashville,-86.7845,36.1657982
35380,"New Orleans-Metairie-Kenner, LA",New Orleans,-90.070145,29.9543991
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York,-73.986198,40.7574005
36420,"Oklahoma City, OK",Oklahoma City,-97.51622,35.4676018
36740,"Orlando-Kissimmee, FL",Orlando,-81.379501,28.5380993
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,-75.164101,39.952301
38060,"Phoenix-Mesa-Scottsdale, AZ",Phoenix,-112.07433,33.4482994
38300,"Pittsburgh, PA",Pittsburgh,-79.996101,40.4404984
38900,"Portland-Vancouver-Beaverton, OR-WA",Portland,-122.67741,45.5191002
39300,"Providence-New Bedford-Fall River, RI-MA",Providence,-71.413498,41.8238983
39580,"Raleigh-Cary, NC",Raleigh,-78.638802,35.7719002
40060,"Richmond, VA",Richmond,-77.433601,37.5387993
40140,"Riverside-San Bernardino-Ontario, CA",Riverside,-117.370003,33.980001
40380,"Rochester, NY",Rochester,-77.61559,43.1548004
40900,"Sacramento-Arden-Arcade-Roseville, CA",Sacramento,-121.493401,38.5816994
41180,"St. Louis, MO-IL",St. Louis,-90.198227,38.6277008
41620,"Salt Lake City, UT",Salt Lake City,-111.890404,40.7607994
41700,"San Antonio, TX",San Antonio,-98.493401,29.4239006
41740,"San Diego-Carlsbad-San Marcos, CA",San Diego,-117.156403,32.7153015
41860,"San Francisco-Oakland-Fremont, CA",San Francisco,-122.418297,37.7750015
41940,"San Jose-Sunnyvale-Santa Clara, CA",San Jose,-121.889,37.3320007
42660,"Seattle-Tacoma-Bellevue, WA",Seattle,-122.330803,47.6063995
45300,"Tampa-St. Petersburg-Clearwater, FL",Tampa Bay,-82.4571,27.9482002
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Norfolk,-76.28775,36.8492012
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,-77.036179,38.9000015
